"Tipo","Modulo","Archivo","Prioridad","Motivo","Recomendacion"
"SIGNALS","core","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\core\layouts\main-layout\main-layout.component.ts","MEDIA","Componente con estado local/listas/filtros sin signal().","Migrar propiedades de estado a signal() y valores derivados a computed()."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\alertas\pages\alertas-page\alertas-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\alertas\pages\alertas-page\alertas-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\analitica\pages\analitica-page\analitica-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\analitica\pages\analitica-page\analitica-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\auditoria\pages\auditoria-page\auditoria-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\auditoria\pages\auditoria-page\auditoria-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"COMPUTED","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\backend-test\pages\backend-test-page\backend-test-page.component.ts","BAJA","Usa signal(), pero no computed() para valores derivados.","Crear computed() para totales, filtros, estados, resumenes o validaciones derivadas."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\checklist\pages\checklist-page\checklist-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\checklist\pages\checklist-page\checklist-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
"SIGNAL_FORMS","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\comprobantes\pages\comprobantes-page\comprobantes-page.component.ts","MEDIA","Tiene formulario o inputs en HTML, pero no se detecta [formField].","Evaluar migrar formulario principal del modulo a Signal Forms."
"VALIDACIONES","U","C:\Users\clint\Downloads\bodega-system-proyecto\frontend\src\app\features\comprobantes\pages\comprobantes-page\comprobantes-page.component.ts","MEDIA","Tiene inputs/formulario, pero no se detectan validaciones visibles.","Agregar validaciones y mensajes visibles; si se migra a Signal Forms, usar schema."
